अँग्रेज़	ãgrēza
लगती	lagatī
लगते	lagatē
लगन	lagana
लगना	laganā
लगनी	laganī
लगने	laganē
लगभग	lagabhaga
लगया	lagayā
लगा	lagā
लगाई	lagāī
लगाए	lagāē
लगाएँ	lagāē̃
लगाएँगे	lagāē̃gē
लगाएंगे	lagāēngē
लगाएगा	lagāēgā
लगाएगी	lagāēgī
लगाकर	lagākara
लगाता	lagātā
लगातार	lagātāra
लगाती	lagātī
लगाते	lagātē
लगान	lagāna
लगाना	lagānā
लगानी	lagānī
लगाने	lagānē
लगाम	lagāma
लगाया	lagāyā
लगायी	lagāyī
लगाव	lagāva
लगी	lagī
लगीं	lagī̃
लगे	lagē
लगें	lagē̃
लगेंगी	lagēngī
लगेंगे	lagēngē
लगेगा	lagēgā
लगेगी	lagēgī
लघु	laghu
लचर	lacara
लचीलापन	lacīlāpana
लटक	laṭaka
लटका	laṭakā
लटकाकर	laṭakākara
लटकी	laṭakī
लठमार	laṭhamāra
लड़	laṛa
लड़कर	laṛakara
लड़का	laṛakā
लड़कियाँ	laṛakiyā̃
लड़कियों	laṛakiyō̃
लड़की	laṛakī
लड़के	laṛakē
लड़कों	laṛakō̃
लड़ते	laṛatē
लड़ना	laṛanā
लड़ने	laṛanē
लड़ा	laṛā
लड़ाइयों	laṛāiyō̃
लड़ाई	laṛāī
लड़ाकू	laṛākū
लड़ाकों	laṛākō̃
लड़ी	laṛī
लड़े	laṛē
लड़ेंगी	laṛēngī
लड़ेंगे	laṛēngē
लड़ेगा	laṛēgā
लत	lata
लत्ते	lattē
लता	latā
लताजी	latājī
लतीफ	latīpha
लतीफ़	latīfa
लद	lada
लपका	lapakā
लपटें	lapaṭē̃
लपेट	lapēṭa
लब्बोलुबाव	labbōlubāva
लम्बाई	lambāī
लम्बे	lambē
लम्हा	lamhā
लमही	lamahī
लमहे	lamahē
लय	laya
ल्यूकोसाइट	lyūkōsāiṭa
लर्निंग	larninga
ललक	lalaka
लल्लन	lallana
लल्ल्न	lallna
ललवानी	lalavānī
ललित	lalita
ललितमोहन	lalitamōhana
लव	lava
लवरोफ़	lavarōfa
लवाद	lavāda
लहज़े	lahazē
लहर	lahara
लहरा	laharā
लहरे	laharē
लहरें	laharē̃
लहरों	laharō̃
ला	lā
लाँग	lā̃ga
लाँघ	lā̃gha
लाँच	lā̃ca
लांबा	lāmbā
लांसेट	lā̃sēṭa
लाइक	lāika
लाइट	lāiṭa
लाइटनिंग	lāiṭaninga
लाइन	lāina
लाइनें	lāinē̃
लाइफ	lāipha
लाइफ़	lāifa
लाइव	lāiva
लाइसेंस	lāisē̃sa
लाई	lāī
लाईट	lāīṭa
लाईव	lāīva
लाउंज	lāuñja
लाउड	lāuḍa
लाउडस्पीकर	lāuḍaspīkara
लाए	lāē
लाएँगें	lāē̃gē̃
लाएगा	lāēgā
लाओ	lāō
लाकर	lākara
लाख	lākha
लाख़	lāḵẖa
लाखन	lākhana
लाखों	lākhō̃
लागत	lāgata
लागू	lāgū
लाची	lācī
लाज़मी	lāzamī
लाज़िमी	lāzimī
लाठियाँ	lāṭhiyā̃
लाठी	lāṭhī
लातविया	lātaviyā
लाता	lātā
लातिन	lātina
लाती	lātī
लातीनी	lātīnī
लाते	lātē
लाद	lāda
लादेन	lādēna
लानत	lānata
लाना	lānā
लानी	lānī
लाने	lānē
लापता	lāpatā
लापरवाही	lāparavāhī
लाबाज़	lābāza
लाभ	lābha
लाभदायक	lābhadāyaka
लाभप्रद	lābhaprada
लामबंदी	lāmabandī
लायक	lāyaka
लायक़	lāyaqa
लाया	lāyā
लायी	lāyī
लायेंगे	lāyēngē
लार्ड्स	lārḍsa
लारा	lārā
लाल	lāla
लालकृष्ण	lālakṛṣṇa
लालच	lālaca
लालुद्दीन	lāluddīna
लालू	lālū
लालूप्रसाद	lālūprasāda
लावा	lāvā
लाश	lāśa
लाशें	lāśē̃
लाशों	lāśō̃
लास	lāsa
लास्ट	lāsṭa
लाहिया	lāhiyā
लाहोटी	lāhōṭī
लाहौर	lāhaura
लाहौरः	lāhauraḥ
लाहौरी	lāhaurī
लिंक	linka
लिंक्स	linksa
लिंग	linga
लिंगीय	lingīya
लिंच	liñca
लिंडसे	liṇḍasē
लिए	liē
लिएंडर	liēṇḍara
लिख	likha
लिखता	likhatā
लिखते	likhatē
लिखना	likhanā
लिखनी	likhanī
लिखने	likhanē
लिखा	likhā
लिखाई	likhāī
लिखित	likhita
लिखी	likhī
लिख़ी	liḵẖī
लिखीं	likhī̃
लिखे	likhē
लिखें	likhē̃
लिज़र	lizara
लिजलिजा	lijalijā
लिट्टे	liṭṭē
लिटल	liṭala
लिटिल	liṭila
लिथुआनिया	lithuāniyā
लिपटे	lipaṭē
लिप्त	lipta
लिफ्ट	liphṭa
लिबरेशन	libarēśana
लिबास	libāsa
लिमका	limakā
लिमिटेड	limiṭēḍa
लिया	liyā
लियांग	liyānga
लियाकत	liyākata
लियाक़त	liyāqata
लिये	liyē
लियोडरा	liyōḍarā
लियोनार्डो	liyōnārḍō
लियोनिड	liyōniḍa
लियोनिद	liyōnida
लियोनेल	liyōnēla
लिलिपुट	lilipuṭa
लिवरपूल	livarapūla
लिवेई	livēī
लिस्ट	lisṭa
लिस्बन	lisbana
लिहाज	lihāja
लिहाज़	lihāza
ली	lī
लीं	lī̃
लीक	līka
लीग	līga
लीजिए	lījiē
लीजिएगा	lījiēgā
लीजेंड्स	lījēṇḍsa
लीडर	līḍara
लीपापोती	līpāpōtī
लीमैन	līmaina
लीरॉय	līrôya
लील	līla
लीला	līlā
लीसा	līsā
लुइ	lui
लुइज़	luiza
लुइस	luisa
लुइसा	luisā
लुई	luī
लुईस	luīsa
लुट	luṭa
लुटाने	luṭānē
लुटेरों	luṭērō̃
लुत्फ़	lutfa
लुधियाना	ludhiyānā
लुप्त	lupta
लुप्तप्राय	luptaprāya
लुपस	lupasa
लुपिन	lupina
लुभाने	lubhānē
लुभावने	lubhāvanē
लूँगा	lū̃gā
लूका	lūkā
लूटने	lūṭanē
लूटपाट	lūṭapāṭa
लूटा	lūṭā
लूटे	lūṭē
लूथरा	lūtharā
लूप	lūpa
लूसी	lūsī
ले	lē
लें	lē̃
लेंगे	lēngē
लेइयन	lēiyana
लेक	lēka
लेकर	lēkara
लेकि	lēki
लेकिन	lēkina
लेकिर	lēkira
लेख	lēkha
लेखक	lēkhaka
लेखकों	lēkhakō̃
लेखन	lēkhana
लेखा	lēkhā
लेखाजोखा	lēkhājōkhā
लेखिका	lēkhikā
लेग	lēga
लेगा	lēgā
लेगी	lēgī
लेगों	lēgō̃
लेज़र	lēzara
लेटन	lēṭana
लेटर्स	lēṭarsa
लेट्स	lēṭsa
लेडी	lēḍī
लेता	lētā
लेती	lētī
लेतीं	lētī̃
लेते	lētē
लेदर	lēdara
लेन	lēna
लेनदार	lēnadāra
लेना	lēnā
लेनिन	lēnina
लेनी	lēnī
लेने	lēnē
लेनेवाले	lēnēvālē
लेपर्ड	lēparḍa
लेपरेचा	lēparēcā
लेफ्टिनेंट	lēphṭinēṇṭa
लेफ़्टिनेंट	lēfṭinēṇṭa
लेफ़्टिनेन्ट	lēfṭinēnṭa
लेबनान	lēbanāna
लेबनॉन	lēbanôna
लेबल	lēbala
लेबॉरेटरी	lēbôrēṭarī
लेबोरेटरी	lēbōrēṭarī
लेबोरेटरीज़	lēbōrēṭarīza
लेबोरेट्रीज़	lēbōrēṭrīza
लेवल	lēvala
लेस्टर	lēsṭara
लैंडर	laiṇḍara
लैंडलाइन	laiṇḍalāina
लैंडिंग	laiṇḍinga
लैंसेट	laĩsēṭa
लैक	laika
लैग	laiga
लैटर्स	laiṭarsa
लैटेक्स	laiṭēksa
लैपटॉप	laipaṭôpa
लैब	laiba
लैबी	laibī
लैबोरेटरीज़	laibōrēṭarīza
लैला	lailā
लैस	laisa
लॉग	lôga
लॉन्चर	lôncara
लॉब	lôba
लॉयड	lôyaḍa
लॉयड्स	lôyaḍsa
लॉर्ड	lôrḍa
लॉर्ड्स	lôrḍsa
लॉरिएल	lôriēla
लॉरेंस	lôrē̃sa
लॉस	lôsa
लॉसन	lôsana
लो	lō
लोक	lōka
लोककलाएँ	lōkakalāē̃
लोकजनशक्ति	lōkajanaśakti
लोकजीवन	lōkajīvana
लोकतंत्र	lōkatantra
लोकताँत्रिक	lōkatā̃trika
लोकतांत्रिक	lōkatāntrika
लोकदल	lōkadala
लोकनृत्य	lōkanṛtya
लोकपरंपराएँ	lōkaparamparāē̃
लोकप्रिय	lōkapriya
लोकप्रियता	lōkapriyatā
लोकल	lōkala
लोकसंगीत	lōkasangīta
लोकसभा	lōkasabhā
लोकार्नो	lōkārnō
लोकार्पण	lōkārpaṇa
लोखंडे	lōkhaṇḍē
लोग	lōga
लोगान	lōgāna
लोगो	lōgō
लोगों	lōgō̃
लोटपोट	lōṭapōṭa
लोड	lōḍa
लोन	lōna
लोभ	lōbha
लोभी	lōbhī
लोमड़ी	lōmaṛī
लोयला	lōyalā
लोया	lōyā
लोला	lōlā
लोहा	lōhā
लौंगवाल	laungavāla
लौट	lauṭa
लौटकर	lauṭakara
लौटते	lauṭatē
लौटना	lauṭanā
लौटने	lauṭanē
लौटा	lauṭā
लौटाना	lauṭānā
लौटी	lauṭī
लौटीं	lauṭī̃
लौटे	lauṭē
लौटें	lauṭē̃
लौटेंगे	lauṭēngē
वंचित	vañcita
वक्त	vakta
वक्त़	vakt̤a
वक़्त	vaqta
वक्तव्य	vaktavya
वक़्तों	vaqtō̃
वक्राकार	vakrākāra
वक़ार	vaqāra
वकील	vakīla
वक़ील	vaqīla
वकीलों	vakīlō̃
वक़ीलों	vaqīlō̃
वगैरह	vagairaha
वग़ैरह	vaġairaha
वग़ैरा	vaġairā
वचन	vacana
वचनबद्ध	vacanabaddha
वजन	vajana
वज़न	vazana
वजनी	vajanī
वज़नी	vazanī
वजह	vajaha
वज़ह	vazaha
वजूद	vajūda
वडोडरा	vaḍōḍarā
वडोदरा	vaḍōdarā
वतन	vatana
वधुएँ	vadhuē̃
वन	vana
वनडे	vanaḍē
वन्य	vanya
वन्यजीव	vanyajīva
वन्यजीवों	vanyajīvō̃
वन्यविहार	vanyavihāra
वनस्पति	vanaspati
वनाधिकारी	vanādhikārī
वनिता	vanitā
वनों	vanō̃
वफ़ादारी	vafādārī
व्यंग्य	vyangya
व्यंग्यकार	vyangyakāra
व्यंग्यात्मक	vyangyātmaka
व्यक्त	vyakta
व्यक्ति	vyakti
व्यक्तिगत	vyaktigata
व्यक्तित्व	vyaktitva
व्यक्तियों	vyaktiyō̃
व्यग्रता	vyagratā
व्यथा	vyathā
व्यथित	vyathita
व्यय	vyaya
व्यर्थ	vyartha
व्यवधान	vyavadhāna
व्यवस्था	vyavasthā
व्यवस्थित	vyavasthita
व्यवसाय	vyavasāya
व्यवसायिओं	vyavasāyiō̃
व्यवसायी	vyavasāyī
व्यवहार	vyavahāra
व्यवहारिक	vyavahārika
वयस्क	vayaska
व्यस्क	vyaska
व्यस्त	vyasta
व्यस्तता	vyastatā
व्यसायी	vyasāyī
व्याकरण	vyākaraṇa
व्याख्या	vyākhyā
व्यापक	vyāpaka
व्याप्त	vyāpta
व्यापार	vyāpāra
व्यापारिक	vyāpārika
व्यापारियों	vyāpāriyō̃
व्यापारी	vyāpārī
व्यावसायिक	vyāvasāyika
व्यावहारिक	vyāvahārika
व्यू	vyū
वर्क	varka
वर्ग	varga
वर्गमीटर	vargamīṭara
वर्गहीन	vargahīna
वर्गीकरण	vargīkaraṇa
वर्गो	vargō
वर्गों	vargō̃
वर्चस्व	varcasva
वर्ज़न	varzana
वर्जनाएँ	varjanāē̃
वर्जित	varjita
वर्जिन	varjina
वर्जीनिया	varjīniyā
वर्ण	varṇa
वर्णों	varṇō̃
व्रत	vrata
वर्तनी	vartanī
वर्तमान	vartamāna
वरदराजा	varadarājā
वरदस्त	varadasta
वरदान	varadāna
वर्दी	vardī
वरन्	varan
वर्नवीरा	varnavīrā
वरना	varanā
वर्ना	varnā
वर्नावीरा	varnāvīrā
वर्मा	varmā
वर्ल्ड	varlḍa
वर्ष	varṣa
वर्षगांठ	varṣagāṇṭha
वर्षा	varṣā
वर्षांत	varṣānta
वर्षीय	varṣīya
वर्षीया	varṣīyā
वर्षो	varṣō
वर्षों	varṣō̃
वरिष्ठ	variṣṭha
वरीयता	varīyatā
वरुण	varuṇa
वरों	varō̃
वलय	valaya
वलयों	valayō̃
वल्लभभाई	vallabhabhāī
व्लादीमिर	vlādīmira
वलीलुल्लाह	valīlullāha
वश	vaśa
वसंत	vasanta
वस्तु	vastu
वस्तुएँ	vastuē̃
वसुंधरा	vasundharā
वसूल	vasūla
वसूली	vasūlī
वसूलें	vasūlē̃
वह	vaha
वहाँ	vahā̃
वहां	vahā̃
व्हाइट	vhāiṭa
व्हाटमोर	vhāṭamōra
वहाब	vahāba
व्हिटलॉक	vhiṭalôka
वही	vahī
वहीँ	vahī̃
वहीं	vahī̃
वहीद	vahīda
वहीदा	vahīdā
व्हीलचेयर	vhīlacēyara
व्हीलर	vhīlara
वाँ	vā̃
वां	vā̃
वांग	vānga
वाइट	vāiṭa
वाइन्स	vāinsa
वाइनी	vāinī
वाइल्ड	vāilḍa
वाइस	vāisa
वाई	vāī
वाईपी	vāīpī
वाक्	vāk
वाकई	vākaī
वाक़ई	vāqaī
वाक्टर	vākṭara
वाक्य	vākya
वाक़या	vāqayā
वाकयुद्ध	vākayuddha
वाक़िफ़	vāqifa
वाघा	vāghā
वाच	vāca
वाजपेयी	vājapēyī
वाजिद	vājida
वाटर	vāṭara
वाटरहाउस	vāṭarahāusa
वाणिज्य	vāṇijya
वाणिज्यदूत	vāṇijyadūta
वाणिज्यिक	vāṇijyika
वाणी	vāṇī
वातानुकूलित	vātānukūlita
वातावरण	vātāvaraṇa
वादक	vādaka
वाद्य	vādya
वादा	vādā
वादियों	vādiyō̃
वादे	vādē
वादों	vādō̃
वान	vāna
वानर	vānara
वानरो	vānarō
वानरों	vānarō̃
वापस	vāpasa
वापसी	vāpasī
वापिस	vāpisa
वामदलों	vāmadalō̃
वामपंथियों	vāmapanthiyō̃
वामपंथी	vāmapanthī
वायग्रा	vāyagrā
वायट	vāyaṭa
वायदा	vāyadā
वायदे	vāyadē
वायरस	vāyarasa
वायु	vāyu
वायुमंडल	vāyumaṇḍala
वायुसेना	vāyusēnā
वार	vāra
वारंट	vāraṇṭa
वार्त्ता	vārttā
वार्ता	vārtā
वार्तांएं	vārtā̃ē̃
वार्ताः	vārtāḥ
वार्ताएं	vārtāē̃
वार्ताओं	vārtāō̃
वार्ताकारों	vārtākārō̃
वार्तिना	vārtinā
वारदातों	vāradātō̃
वार्न	vārna
वार्मिंग	vārminga
वार्षिक	vārṣika
वार्षिकांक	vārṣikānka
वार्षिकी	vārṣikī
वाराणसी	vārāṇasī
वारिस	vārisa
वाल्ट	vālṭa
वाल्टर	vālṭara
वाल्मीकि	vālmīki
वाल्श	vālśa
वाला	vālā
वाली	vālī
वाले	vālē
वालेनजुएला	vālēnajuēlā
वालो	vālō
वालों	vālō̃
वाशिंगटन	vāśingaṭana
वाशिंग्टन	vāśingṭana
वास	vāsa
वास्तव	vāstava
वास्तविक	vāstavika
वास्तविकता	vāstavikatā
वास्तविकताओं	vāstavikatāō̃
वास्ते	vāstē
वासियों	vāsiyō̃
वासुदेव	vāsudēva
वासू	vāsū
वाह	vāha
वाहन	vāhana
वाहनों	vāhanō̃
वाहवाही	vāhavāhī
वाहिद	vāhida
विंग	vinga
विंची	viñcī
विंट	viṇṭa
विंटन	viṇṭana
विंटर	viṇṭara
विंडोज़	viṇḍōza
विंड़ोज़	vĩṛōza
विंबलडन	vimbalaḍana
विंस्टन	vĩsṭana
विएतनाम	viētanāma
विक्टर	vikṭara
विक्टोर	vikṭōra
विक्टोरिया	vikṭōriyā
विक्रम	vikrama
विक्रमसिंघे	vikramasinghē
विकल्प	vikalpa
विकल्पों	vikalpō̃
विकलाँग	vikalā̃ga
विकलांग	vikalānga
विकलांगता	vikalāngatā
विकलांगों	vikalāngō̃
विकसित	vikasita
विक़ार	viqāra
विकास	vikāsa
विकासशील	vikāsaśīla
विकिरण	vikiraṇa
विकिरणों	vikiraṇō̃
विकेंद्रीयकरण	vikēndrīyakaraṇa
विकेट	vikēṭa
विकेटकीपर	vikēṭakīpara
विकेटकीपिंग	vikēṭakīpinga
विकेटों	vikēṭō̃
विघटित	vighaṭita
विचलित	vicalita
विचार	vicāra
विचारधारा	vicāradhārā
विचारधाराएँ	vicāradhārāē̃
विचारमंच	vicāramañca
विचारों	vicārō̃
विचित्र	vicitra
विज्ञप्ति	vijñapti
विज्ञान	vijñāna
विज्ञानियों	vijñāniyō̃
विज्ञापन	vijñāpana
विज्ञापनों	vijñāpanō̃
विज़डन	vizaḍana
विजय	vijaya
विजयी	vijayī
विजयेंद्र	vijayēndra
विजेंदर	vijēndara
विजेता	vijētā
विटोरी	viṭōrī
विडंबनाओं	viḍambanāō̃
विडाल	viḍāla
विडोज़	viḍōza
वित्त	vitta
वित्तमंत्री	vittamantrī
वित्तीय	vittīya
वितरण	vitaraṇa
विताली	vitālī
वितीय	vitīya
विथ	vitha
विद्गोहियों	vidgōhiyō̃
विद्याधर	vidyādhara
विद्यार्थी	vidyārthī
विद्यालय	vidyālaya
विद्रोह	vidrōha
विद्रोहियों	vidrōhiyō̃
विद्रोही	vidrōhī
विद्वान	vidvāna
विद्वानों	vidvānō̃
विदशी	vidaśī
विदा	vidā
विदाई	vidāī
विदेश	vidēśa
विदेशमंत्री	vidēśamantrī
विदेशियों	vidēśiyō̃
विदेशी	vidēśī
विदेशों	vidēśō̃
विध्वंस	vidhvaṁsa
विधवा	vidhavā
विधवाओं	vidhavāō̃
विधा	vidhā
विधाता	vidhātā
विधान	vidhāna
विधानसभा	vidhānasabhā
विधायक	vidhāyaka
विधि	vidhi
विधिमंत्री	vidhimantrī
विधेयक	vidhēyaka
विन	vina
विन्नी	vinnī
विनय	vinaya
विनयशील	vinayaśīla
विनाश	vināśa
विनाशकारी	vināśakārī
विनाशलीला	vināśalīlā
विनिवेश	vinivēśa
विनीपेग	vinīpēga
विनोद	vinōda
विपक्ष	vipakṣa
विपक्षी	vipakṣī
विपत्ति	vipatti
विपदा	vipadā
विपन्नता	vipannatā
विपरीत	viparīta
विप्रो	viprō
विपिन	vipina
विफल	viphala
विभाग	vibhāga
विभागीय	vibhāgīya
विभाजन	vibhājana
विभाजित	vibhājita
विभिन्न	vibhinna
विभिन्नता	vibhinnatā
विभीषिका	vibhīṣikā
विभूषण	vibhūṣaṇa
विमर्श	vimarśa
विमान	vimāna
विमानन	vimānana
विमानवाहक	vimānavāhaka
विमानों	vimānō̃
विमोचन	vimōcana
वियतनाम	viyatanāma
वियना	viyanā
विर्क	virka
विर्मारम	virmārama
विरमाराम	viramārāma
विराट्	virāṭ
विरादरी	virādarī
विराम	virāma
विरामराम	virāmarāma
विराल	virāla
विरासत	virāsata
विरुद्ध	viruddha
विरूद्ध	virūddha
विरोध	virōdha
विरोधाभास	virōdhābhāsa
विरोधाभासी	virōdhābhāsī
विरोधाभासों	virōdhābhāsō̃
विरोधियों	virōdhiyō̃
विरोधी	virōdhī
विल	vila
विलंब	vilamba
विल्किंसन	vilkĩsana
विल्फ़्रेड	vilfrēḍa
विलम्ब	vilamba
विलय	vilaya
विलिंगडन	vilingaḍana
विलियम्स	viliyamsa
विली	vilī
विलीन	vilīna
विलुप्त	vilupta
विलेज	vilēja
विवरण	vivaraṇa
विवश	vivaśa
विवाद	vivāda
विवादास्पद	vivādāspada
विवादित	vivādita
विवादों	vivādō̃
विवाह	vivāha
विवाहों	vivāhō̃
विविध	vividha
विविधता	vividhatā
विविधताएँ	vividhatāē̃
विविधताओं	vividhatāō̃
विवियन	viviyana
विवेक	vivēka
विवेकानंद	vivēkānanda
विवेचना	vivēcanā
विश्नविद्यालयों	viśnavidyālayō̃
विश्राम	viśrāma
विश्लेषक	viślēṣaka
विश्लेषकों	viślēṣakō̃
विश्लेषण	viślēṣaṇa
विश्व	viśva
विश्वकप	viśvakapa
विश्वकर्मा	viśvakarmā
विश्वनाथ	viśvanātha
विश्वबैंक	viśvabainka
विश्वभारती	viśvabhāratī
विश्वव्यापी	viśvavyāpī
विश्वविद्दालय	viśvaviddālaya
विश्वविद्यालय	viśvavidyālaya
विश्वसनीय	viśvasanīya
विश्वसनीयता	viśvasanīyatā
विश्वास	viśvāsa
विश्वासघात	viśvāsaghāta
विश्वासपात्र	viśvāsapātra
विश्विद्यालय	viśvidyālaya
विशाखापत्तनम	viśākhāpattanama
विशाल	viśāla
विशालकाय	viśālakāya
विशिष्ट	viśiṣṭa
विशिष्टता	viśiṣṭatā
विशिष्ठ	viśiṣṭha
विशुद्ध	viśuddha
विशेष	viśēṣa
विशेषज्ञ	viśēṣajña
विशेषज्ञता	viśēṣajñatā
विशेषज्ञों	viśēṣajñō̃
विशेषताएँ	viśēṣatāē̃
विशेषांक	viśēṣānka
विष्णु	viṣṇu
विष्णुपडा	viṣṇupaḍā
विषय	viṣaya
विषयों	viṣayō̃
विषैले	viṣailē
विसंगतियों	visangatiyō̃
विस्कोंसिन	viskō̃sina
विस्कोनसिन	viskōnasina
विस्कोन्सिन	viskōnsina
विस्कोसिन	viskōsina
विस्तार	vistāra
विस्तारवादी	vistāravādī
विस्तृत	vistṛta
विस्फोट	visphōṭa
विस्फोटक	visphōṭaka
विस्फोटों	visphōṭō̃
विस्मयकारी	vismayakārī
विहंग	vihanga
विहार	vihāra
विहिप	vihipa
वी	vī
वीं	vī̃
वीआर	vīāra
वीएचपी	vīēcapī
वीक	vīka
वीके	vīkē
वीज़ा	vīzā
वीजू	vījū
वीटनी	vīṭanī
वीटो	vīṭō
वीडियो	vīḍiyō
वीडियोकॉन	vīḍiyōkôna
वीनस	vīnasa
वीना	vīnā
वीपी	vīpī
वीबी	vībī
वीर	vīra
वीरतुंगा	vīratungā
वीरप्पन	vīrappana
वीरमारम	vīramārama
वीरमाराम	vīramārāma
वीर्य	vīrya
वीरान	vīrāna
वीरू	vīrū
वीरेंदर	vīrēndara
वीरेंद्र	vīrēndra
वीरेन्दर	vīrēndara
वीवर	vīvara
वीवी	vīvī
वीवीएस	vīvīēsa
वीसा	vīsā
वुडब्रिज	vuḍabrija
वुडवर्ड	vuḍavarḍa
वुड्स	vuḍsa
वुदरिंग	vudaringa
वुल्फस	vulphasa
वुल्फैंसॉन	vulphaĩsôna
वुल्मर	vulmara
वू	vū
वूल्फ़ेन्सन	vūlfēnsana
वूलफ़ेन्सन	vūlafēnsana
वूल्फ़ोविट्ज़	vūlfōviṭza
वूल्मर	vūlmara
वृत्तचित्रों	vṛttacitrō̃
वृद्ध	vṛddha
वृद्धि	vṛddhi
वे	vē
वें	vē̃
वेंकट	vēnkaṭa
वेंकैया	vēnkaiyā
वेंडेमिया	vēṇḍēmiyā
वेंबा	vēmbā
वेक्सीन	vēksīna
वेगास	vēgāsa
वेटिकन	vēṭikana
वेटोरी	vēṭōrī
वेडिंग	vēḍinga
वेणुगोपाल	vēṇugōpāla
वेतन	vētana
वेदांती	vēdāntī
वेधशाला	vēdhaśālā
वेन	vēna
वेनिस	vēnisa
वेनेसा	vēnēsā
वेपन	vēpana
वेब	vēba
वेबगाइड	vēbagāiḍa
वेबपेजों	vēbapējō̃
वेबर	vēbara
वेबरुट	vēbaruṭa
वेबलॉग	vēbalôga
वेबलॉगर	vēbalôgara
वेबसाइट	vēbasāiṭa
वेबसाइटें	vēbasāiṭē̃
वेबसाइटों	vēbasāiṭō̃
वेबासाइटों	vēbāsāiṭō̃
वेयर	vēyara
वेरोना	vērōnā
वेल	vēla
वेलण्कणी	vēlaṇkaṇī
वेल्यू	vēlyū
वेल्लुपई	vēllupaī
वेल्लूर	vēllūra
वेल्लोर	vēllōra
वेलवेट	vēlavēṭa
वेल्श	vēlśa
वेल्स	vēlsa
वेलुपिल्लई	vēlupillaī
वेलुपिल्लै	vēlupillai
वेश्याएं	vēśyāē̃
वेश्याओं	vēśyāō̃
वेश्यालय	vēśyālaya
वेषभूषा	vēṣabhūṣā
वेस्ट	vēsṭa
वेस्टइंडीज	vēsṭaiṇḍīja
वेस्टइंडीज़	vēsṭaiṇḍīza
वैंगांकर	vaingānkara
वैंडेनवर्ग	vaiṇḍēnavarga
वैकम	vaikama
वैकल्पिक	vaikalpika
वैक्सीन	vaiksīna
वैज्ञानिक	vaijñānika
वैज्ञानिको	vaijñānikō
वैज्ञानिकों	vaijñānikō̃
वैजयंती	vaijayantī
वैद्य	vaidya
वैध	vaidha
वैधता	vaidhatā
वैधानिक	vaidhānika
वैन	vaina
वैभव	vaibhava
वैराईटी	vairāīṭī
वैरी	vairī
वैली	vailī
वैलेस	vailēsa
वैवाहिक	vaivāhika
वैवेल	vaivēla
वैष्णो	vaiṣṇō
वैष्णोदेवी	vaiṣṇōdēvī
वैसा	vaisā
वैसी	vaisī
वैसे	vaisē
वॉ	vô
वॉक	vôka
वॉकर	vôkara
वॉट	vôṭa
वॉटर	vôṭara
वॉटरहाउस	vôṭarahāusa
वॉटसन	vôṭasana
वॉर्क	vôrka
वॉर्न	vôrna
वॉर्मिंग	vôrminga
वॉरिक	vôrika
वॉल्ट	vôlṭa
वॉल्श	vôlśa
वॉशिंगटन	vôśingaṭana
वॉशिंटगन	vôśiṇṭagana
वो	vō
वोकल	vōkala
वोकलकॉड	vōkalakôḍa
वोट	vōṭa
वोटर	vōṭara
वोटरों	vōṭarō̃
वोटिंग	vōṭinga
वोटों	vōṭō̃
वोरा	vōrā
वोल्यूम	vōlyūma
वोहरा	vōharā
शंकर	śankara
शंकररमण	śankararamaṇa
शंकररामण	śankararāmaṇa
शंकररामन	śankararāmana
शंकराचार्च	śankarācārca
शंकराचार्य	śankarācārya
शंभूनाथ	śambhūnātha
शक	śaka
शक्ति	śakti
शक्तियों	śaktiyō̃
शक्तिशाली	śaktiśālī
शक्ल	śakla
शका	śakā
शकीरा	śakīrā
शकुंतला	śakuntalā
शख़्शियतें	śaḵẖśiyatē̃
शख्सियत	śakhsiyata
शख़्सियत	śaḵẖsiyata
शग़ल	śaġla
शत	śata
शतक	śataka
शतकीय	śatakīya
शतकों	śatakō̃
शत्रु	śatru
शताब्दी	śatābdī
शनि	śani
शनिवार	śanivāra
शपथ	śapatha
शपथपत्रों	śapathapatrō̃
शफी	śaphī
शफ़ी	śafī
शब्द	śabda
शब्दकोश	śabdakōśa
शब्दकोष	śabdakōṣa
शब्दावली	śabdāvalī
शब्दों	śabdō̃
शब्बीर	śabbīra
शबरी	śabarī
शमशीर	śamaśīra
शमसुज़ोहा	śamasuzōhā
शमसुद्दीन	śamasuddīna
शमा	śamā
शमीम	śamīma
श्याम	śyāma
श्यामल	śyāmala
श्यामलन	śyāmalana
श्रंखला	śraṁkhalā
शरकी	śarakī
शरजाह	śarajāha
शर्ट	śarṭa
शरण	śaraṇa
शरणार्थी	śaraṇārthī
शर्णार्थी	śarṇārthī
शर्त	śarta
शर्तिया	śartiyā
शर्तें	śartē̃
शर्तों	śartō̃
शरद	śarada
श्रद्दालुओं	śraddāluō̃
श्रद्धा	śraddhā
श्रद्धाँजलि	śraddhā̃jali
श्रद्धांजलि	śraddhāñjali
श्रद्धालु	śraddhālu
श्रद्धालुओं	śraddhāluō̃
शर्म	śarma
शर्मनाक	śarmanāka
शर्मा	śarmā
शर्मिंदगी	śarmindagī
शर्मिंदा	śarmindā
श्रमिकों	śramikō̃
शर्मिन्दगी	śarmindagī
शर्मिला	śarmilā
शर्मिष्ठा	śarmiṣṭhā
शर्मीला	śarmīlā
शर्मीले	śarmīlē
शरापोवा	śarāpōvā
श्राफ	śrāpha
